179,179,225, PURPLE
179,191,214, BLUE
166,191,214, BLUE
202,191,214, PURPLE
202,169,214, PURPLE
158,169,214, PERIWINKLE
158,190,214, BLUE
216,212,242, PURPLE
182,178,221, PURPLE
136,184,230, BLUE
136,150,230, PERIWINKLE
153,150,230, PURPLE

242,246,208, OFFWHITE
242,242,219, OFFWHITE
255,255,255, WHITE
242,238,242, GRAY
205,201,196, GRAY
241,246,228, OFFWHITE
218,218,218, GRAY
249,247,249, WHITE
241,246,246, OFFWHITE
248,255,229, OFFWHITE
250,255,238, OFFWHITE
235,235,243, GRAY

152,204,178, GREEN
121,187,173, TURQUOISE
096,187,173, TURQUOISE
096,187,149, GREEN
081,187,125, GREEN
081,155,125, GREEN
081,155,159, BLUE
081,188,159, GREEN
081,188,181, TURQUOISE
081,188,200, BLUE
081,206,200, TURQUOISE
081,206,157, GREEN

255,096,096, SALMON
255,083,076, SALMON
255,110,082, ORANGE
255,083,062, ORANGE
255,108,062, ORANGE
255,108,091, SALMON
255,108,110, SALMON
255,103,125, PINK
244,096,108, PINK
244,076,085, PINK
244,076,065, ORANGE
244,066,082, PINK













